,file,uniqueID,blur,entropy
0,data/input/things/airboat.jpg,airboat,1.0,4.0781
0,data/input/things/airboat.jpg,airboat,2.0,5.250389
0,data/input/things/airboat.jpg,airboat,3.0,5.828642
0,data/input/things/airboat.jpg,airboat,4.0,6.0930686
0,data/input/things/airboat.jpg,airboat,5.0,6.237171
0,data/input/things/airboat.jpg,airboat,6.0,6.2063847
0,data/input/things/airboat.jpg,airboat,7.0,6.1786695
0,data/input/things/airboat.jpg,airboat,8.0,5.996653
0,data/input/things/apple_tree.jpg,apple_tree,1.0,0.9451053
0,data/input/things/apple_tree.jpg,apple_tree,2.0,1.1585253
0,data/input/things/apple_tree.jpg,apple_tree,3.0,2.3879669
0,data/input/things/apple_tree.jpg,apple_tree,4.0,4.6664953
0,data/input/things/apple_tree.jpg,apple_tree,5.0,5.8618855
0,data/input/things/apple_tree.jpg,apple_tree,6.0,6.215312
0,data/input/things/apple_tree.jpg,apple_tree,7.0,6.554265
0,data/input/things/apple_tree.jpg,apple_tree,8.0,6.5236244
0,data/input/things/aquarium.jpg,aquarium,1.0,5.1551485
0,data/input/things/aquarium.jpg,aquarium,2.0,5.320777
0,data/input/things/aquarium.jpg,aquarium,3.0,5.0483084
0,data/input/things/aquarium.jpg,aquarium,4.0,5.9418883
0,data/input/things/aquarium.jpg,aquarium,5.0,6.6501327
0,data/input/things/aquarium.jpg,aquarium,6.0,6.78201
0,data/input/things/aquarium.jpg,aquarium,7.0,6.68143
0,data/input/things/aquarium.jpg,aquarium,8.0,6.3385944
0,data/input/things/artichoke.jpg,artichoke,1.0,5.3609915
0,data/input/things/artichoke.jpg,artichoke,2.0,5.5452247
0,data/input/things/artichoke.jpg,artichoke,3.0,5.6389155
0,data/input/things/artichoke.jpg,artichoke,4.0,6.04967
0,data/input/things/artichoke.jpg,artichoke,5.0,6.3817935
0,data/input/things/artichoke.jpg,artichoke,6.0,6.439023
0,data/input/things/artichoke.jpg,artichoke,7.0,6.617923
0,data/input/things/artichoke.jpg,artichoke,8.0,6.7123613
0,data/input/things/backgammon.jpg,backgammon,1.0,2.7380424
0,data/input/things/backgammon.jpg,backgammon,2.0,3.496684
0,data/input/things/backgammon.jpg,backgammon,3.0,4.688773
0,data/input/things/backgammon.jpg,backgammon,4.0,5.6840305
0,data/input/things/backgammon.jpg,backgammon,5.0,6.287038
0,data/input/things/backgammon.jpg,backgammon,6.0,6.3804893
0,data/input/things/backgammon.jpg,backgammon,7.0,6.3857136
0,data/input/things/backgammon.jpg,backgammon,8.0,6.2883816
0,data/input/things/badge.jpg,badge,1.0,3.647018
0,data/input/things/badge.jpg,badge,2.0,4.1870956
0,data/input/things/badge.jpg,badge,3.0,5.0700006
0,data/input/things/badge.jpg,badge,4.0,6.0066957
0,data/input/things/badge.jpg,badge,5.0,6.2955265
0,data/input/things/badge.jpg,badge,6.0,6.5054846
0,data/input/things/badge.jpg,badge,7.0,6.6098576
0,data/input/things/badge.jpg,badge,8.0,6.6498604
0,data/input/things/baklava.jpg,baklava,1.0,4.4062834
0,data/input/things/baklava.jpg,baklava,2.0,4.5909586
0,data/input/things/baklava.jpg,baklava,3.0,4.8027687
0,data/input/things/baklava.jpg,baklava,4.0,5.3269434
0,data/input/things/baklava.jpg,baklava,5.0,5.753716
