"","uniqueID","blur","sigma","image_id"
"167","dress",7,32.0074509832095,121
"168","dress",8,40.8457431183376,121
"169","thermometer",1,5.639,122
"170","thermometer",2,6.57241410585035,122
"171","thermometer",3,7.66033466550464,122
"172","thermometer",4,8.92833687020698,122
"173","thermometer",5,10.4062293292307,122
"174","thermometer",6,12.1287548203848,122
"175","thermometer",7,14.1364070345624,122
"176","thermometer",8,16.4763825146302,122
"177","shawl",1,4.674,123
"178","shawl",2,5.57714284438126,123
"179","shawl",3,6.6547972414705,123
"180","shawl",4,7.94068352932721,123
"181","shawl",5,9.47503772466483,123
"182","shawl",6,11.3058705276759,123
"183","shawl",7,13.490469600541,123
"184","shawl",8,16.0971921266581,123
"185","carrot",1,10.7305,124
"186","carrot",2,12.819762202299,124
"187","carrot",3,15.3158103465351,124
"188","carrot",4,18.2978469389208,124
"189","carrot",5,21.8604954634947,124
"190","carrot",6,26.1168028951529,124
"191","carrot",7,31.2018268114417,124
"192","carrot",8,37.2769209263315,124
"193","bowling_ball",1,7.411,125
"194","bowling_ball",2,9.03820027909305,125
"195","bowling_ball",3,11.0226776798,125
"196","bowling_ball",4,13.4428779492539,125
"197","bowling_ball",5,16.3944708180759,125
"198","bowling_ball",6,19.9941317937548,125
"199","bowling_ball",7,24.3841543055644,125
"200","bowling_ball",8,29.738074517609,125
"201","bow3",1,5.639,126
"202","bow3",2,6.57241410585035,126
"203","bow3",3,7.66033466550464,126
"204","bow3",4,8.92833687020698,126
"205","bow3",5,10.4062293292307,126
"206","bow3",6,12.1287548203848,126
"207","bow3",7,14.1364070345624,126
"208","bow3",8,16.4763825146302,126
"209","baton4",1,7.1085,128
"210","baton4",2,8.58216869032914,128
"211","baton4",3,10.36134478853,128
"212","baton4",4,12.5093632740842,128
"213","baton4",5,15.102689150566,128
"214","baton4",6,18.2336394411987,128
"215","baton4",7,22.0136694834362,128
"216","baton4",8,26.5773405078427,128
"217","reel",1,4.117,129
"218","reel",2,4.99820002582435,129
"219","reel",3,6.06801153707809,129
"220","reel",4,7.3668048145072,129
"221","reel",5,8.94359096772233,129
"222","reel",6,10.8578714126384,129
"223","reel",7,13.1818832098728,129
"224","reel",8,16.0033249939276,129
"225","gravel",1,4,130
"226","gravel",2,4.8760546168179,130
"227","gravel",3,5.94397715654779,130
"228","gravel",4,7.24578931411125,130
"229","gravel",5,8.8327161093905,130
"230","gravel",6,10.7672015410588,130
"231","gravel",7,13.1253656961222,130
"232","gravel",8,16,130
"233","fungus",1,4.329,131
"234","fungus",2,5.43999678872568,131
"235","fungus",3,6.83612036529123,131
"236","fungus",4,8.59054581532144,131
"237","fungus",5,10.7952279160891,131
"238","fungus",6,13.5657207662477,131
"239","fungus",7,17.0472343278209,131
"240","fungus",8,21.4222453222453,131
"241","lectern",1,4,132
"242","lectern",2,4.8760546168179,132
"243","lectern",3,5.94397715654779,132
"244","lectern",4,7.24578931411125,132
"245","lectern",5,8.8327161093905,132
"246","lectern",6,10.7672015410588,132
"247","lectern",7,13.1253656961222,132
"248","lectern",8,16,132
"249","ski_boots",1,4.316,133
"250","ski_boots",2,5.20549826317947,133
"251","ski_boots",3,6.27831607228094,133
"252","ski_boots",4,7.57223433965482,133
"253","ski_boots",5,9.13282036688163,133
"254","ski_boots",6,11.0150325666665,133
"255","ski_boots",7,13.2851559070083,133
"256","ski_boots",8,16.0231362372567,133
"257","crate",1,4.5335,134
"258","crate",2,5.43147141178742,134
"259","crate",3,6.50730819390406,134
"260","crate",4,7.79624096677621,134
"261","crate",5,9.34047864353169,134
"262","crate",6,11.1905906528628,134
"263","crate",7,13.4071629451946,134
"264","crate",8,16.0627820116908,134
"265","pogo_stick",1,6.215,135
"266","pogo_stick",2,7.16304181968728,135
"267","pogo_stick",3,8.25569881103601,135
"268","pogo_stick",4,9.51503070542131,135
"269","pogo_stick",5,10.9664622459439,135
"270","pogo_stick",6,12.6392964894156,135
"271","pogo_stick",7,14.5673064079019,135
"272","pogo_stick",8,16.7894167337088,135
"273","apple_tree",1,4.5895,137
"274","apple_tree",2,5.4895597932969,137
"275","apple_tree",3,6.56613285198429,137
"276","apple_tree",4,7.85383569053248,137
"277","apple_tree",5,9.39407356572771,137
"278","apple_tree",6,11.2363718360806,137
"279","apple_tree",7,13.4399684178847,137
"280","apple_tree",8,16.0757185423249,137
"281","surfboard",1,4,138
"282","surfboard",2,4.8760546168179,138
"283","surfboard",3,5.94397715654779,138
"284","surfboard",4,7.24578931411125,138
"285","surfboard",5,8.8327161093905,138
"286","surfboard",6,10.7672015410588,138
"287","surfboard",7,13.1253656961222,138
"288","surfboard",8,16,138
"289","aquarium",1,4.226,139
"290","aquarium",2,5.51512474660599,139
"291","aquarium",3,7.19749194761613,139
"292","aquarium",4,9.39305867340158,139
"293","aquarium",5,12.258374428774,139
"294","aquarium",6,15.997743531778,139
"295","aquarium",7,20.87779253241,139
"296","aquarium",8,27.2464813653573,139
"297","dashboard",1,6.535,140
"298","dashboard",2,7.49030629075504,140
"299","dashboard",3,8.58526217740237,140
"300","dashboard",4,9.8402820650617,140
"301","dashboard",5,11.2787645990414,140
"302","dashboard",6,12.9275289101982,140
"303","dashboard",7,14.8173146319778,140
"304","dashboard",8,16.9833550114767,140
"305","backgammon",1,4,142
"306","backgammon",2,4.8760546168179,142
"307","backgammon",3,5.94397715654779,142
"308","backgammon",4,7.24578931411125,142
"309","backgammon",5,8.8327161093905,142
"310","backgammon",6,10.7672015410588,142
"311","backgammon",7,13.1253656961222,142
"312","backgammon",8,16,142
"313","tapestry",1,4,143
"314","tapestry",2,4.8760546168179,143
"315","tapestry",3,5.94397715654779,143
"316","tapestry",4,7.24578931411125,143
"317","tapestry",5,8.8327161093905,143
"318","tapestry",6,10.7672015410588,143
"319","tapestry",7,13.1253656961222,143
"320","tapestry",8,16,143
"321","retainer",1,4,144
"322","retainer",2,4.8760546168179,144
"323","retainer",3,5.94397715654779,144
"324","retainer",4,7.24578931411125,144
"325","retainer",5,8.8327161093905,144
"326","retainer",6,10.7672015410588,144
"327","retainer",7,13.1253656961222,144
"328","retainer",8,16,144
"329","cabinet",1,4.117,145
"330","cabinet",2,5.06643369235471,145
"331","cabinet",3,6.23481913019845,145
